SUB1	SUB1
FAM108A1	PLSCR4
FAM108A1	TRIM27
FAM108A1	KRTAP5-9
FAM108A1	TRAF1
FAM108A1	BIRC2
FAM108A1	HPGDS
FAM108A1	EHMT2
FAM108A1	TNIP1
FAM108A1	GOLGA2
FAM108A1	PNMA1
FAM108A1	RGS20
FAM108A1	MDFI
FAM108A1	GPC4
NAT2	KAT6B
HDHD3	FOXH1
HDHD3	TMC7
HDHD3	ECT2
HDHD3	CSTF2
HDHD3	TRIP13
HDHD3	KIF26B
HDHD3	SMYD1
HDHD3	C9orf169
HDHD3	FANCL
HDHD3	VAC14
HDHD3	MORN3
HDHD3	ATG9A
HDHD3	AES
AADAC	APPBP2
AAMP	C11orf57
AAMP	BHLHE40
AAMP	VPS52
AAMP	AEN
AANAT	BHLHE40
AANAT	C6orf195
AANAT	MDFI
ABL1	KRT31
ABP1	TIAL1
ABP1	CYBASC3
ABP1	WDYHV1
ABP1	POGZ
ABP1	ZC3H10
ABP1	DAZAP2
ABP1	MGC45922
ABP1	RBPMS2
ABL2	ABI2
ABL2	TRIP10
ABO	TMEM79
ABO	GRAMD3
ACAA1	DDX39B
ACADL	TGM1
MORN2	GORASP2
TRPV5	EWSR1
ACADVL	EIF3F
ACADVL	SCAMP1
ACAT2	LNX1
ACAT2	ACAT2
CNST	EWSR1
CNST	ROPN1
VGLL2	TEAD3
ACP1	SFMBT1
PPM1K	UBXN11
PPM1K	BIRC2
PPM1K	XIAP
PPM1K	MAGEA11
ACTB	CFL1
ACTB	CFL2
ACTB	WDYHV1
ACTB	CAP2
ACTB	ACTG1
ACTB	EHHADH
ACTB	ACTB
ACTB	DSTN
GTF3C6	C21orf56
LOC150197	FRS3
LOC150197	C22orf39
LOC150197	CRYBA2
LOC150197	C7orf11
LOC150197	LENG8
LOC150197	CELF5
LOC150197	POU1F1
LOC150197	C2orf51
LOC150197	KPRP
LOC150197	HEMK1
LOC150197	DTX2
LOC150197	EBF4
LOC150197	GNE
LOC150197	CHERP
LOC150197	BCL6
LOC150197	ANKHD1
LOC150197	PITX1
LOC150197	QKI
LOC150197	KRTAP15-1
LOC150197	AES
LOC150197	PKN1
LOC150197	LEF1
LOC150197	MVP
LOC150197	ZNF414
LOC150197	PRR20A
LOC150197	ELL
LOC150197	PATZ1
LOC150197	RHOXF2
LOC150197	CREB5
LOC150197	PPP1R27
LOC150197	FGF16
LOC150197	ZIC1
LOC150197	SEC24B
LOC150197	PITX2
LOC150197	PLIN5
LOC150197	KRTAP12-4
LINC00526	CCDC57
LINC00526	TRIM27
LINC00526	TCF4
LINC00526	USHBP1
LINC00526	AES
LINC00526	KRT31
LINC00526	KRT34
LINC00526	C9orf169
LINC00526	TRIM23
LINC00526	KRTAP1-3
LINC00526	KRTAP1-1
LINC00526	NOTCH2NL
ACTG1	CFL1
ACTG1	CFL2
ACTG1	CDC37
ACTG1	WDYHV1
ACTG1	CAP2
ACTG1	ACTG1
ACTG1	CCDC22
ACTG1	EHHADH
ACTG1	DSTN
NCBP2	LZTS2
TSEN2	CADPS
TSEN2	TSEN54
TSEN2	TAX1BP1
ACTN4	MYOZ1
ACTN4	MYOZ2
ACTN4	PDLIM1
ACTN4	LNX1
ACTN4	SORBS2
ACTN4	C14orf119
ACTN4	ACTN3
ACTN4	MEOX2
ACTN4	LCMT2
ACTN4	MICALL2
ACTN4	BMP7
PGLYRP2	SGTA
PGLYRP3	KRT34
ACTL6A	EWSR1
ACTN1	DDIT4L
ACTN1	MYOZ2
ACTN1	PDLIM4
ACTN1	OAS1
ACTN1	USP2
ACTN1	KCTD6
ACTN1	MAGEA11
ACTN1	DYNLT1
ACTN1	ACTN1
ACTN1	ACTN2
ACTN1	ACTN3
ACTN1	XRCC4
ACTN1	GADD45G
ACTN1	MYOZ1
ACTN1	MICALL2
ACTN1	LNX1
ACTN1	C14orf119
ACTN1	EIF2S1
ACTN1	C11orf57
ACTN1	SPERT
ACTN1	EPM2AIP1
ACTN1	SYNPO2L
ACTN2	FAM50B
ACTN2	ODF3B
ACTN2	GSTT1
ACTN2	CNNM3
ACTN2	USP2
ACTN2	TCTEX1D2
ACTN2	SP100
ACTN2	BRMS1L
ACTN2	HTR1B
ACTN2	ATP5G1
ACTN2	MYOT
ACTN2	PDLIM3
ACTN2	MYOZ1
ACTN2	CRADD
ACTN2	CLEC4D
ACTN2	CXXC11
ACTN2	SSSCA1
ACTN2	CD27
ACTN2	C11orf57
ACTN2	PSMA1
ACTN2	WDYHV1
ACTN2	GNB2L1
ACTN2	BAD
ACTN2	SYNPO2L
ACTN2	MICALL2
ACTN2	GATA3
ACTN2	MYOZ2
ACTN2	MRPL10
ACTN2	SRP9
ACTN2	TOLLIP
ACTN2	MGC50722
ACTN2	FAM164C
ACTN2	NCAPH2
ACTN2	SNAI1
ACTN2	ACTN2
ACTN2	FAM154A
ACTN2	SPA17
ACTN2	RPP14
ACTN2	QARS
ACTN2	HIST1H4I
ACTN2	CRABP2
ACTN2	KATNAL2
ACTN2	ANGPTL7
ACTN2	MOS
ACTN2	GOLGA7
ACTN2	PPP1CB
ACTN3	SUMO1P1
ACTN3	ODF3B
ACTN3	HSF2BP
ACTN3	PKP2
ACTN3	MYOZ1
ACTN3	MAGEA6
ACTN3	PPP1R18
ACTN3	USP2
ACTN3	FAM90A1
ACTN3	REL
ACTN3	KCTD6
ACTN3	ALS2CR11
ACTN3	POU6F2
ACTN3	TRAF2
ACTN3	CTAG1A
ACTN3	LHX3
ACTN3	ABI3
ACTN3	MYOT
ACTN3	RNF111
ACTN3	PLEKHG2
ACTN3	NEBL
ACTN3	TRIM29
ACTN3	LNX1
ACTN3	SNAI1
ACTN3	TRAF1
ACTN3	PCCB
ACTN3	CXXC11
ACTN3	CADPS
ACTN3	GLIS2
ACTN3	C11orf57
ACTN3	ACTN3
ACTN3	C1orf94
ACTN3	PTK6
ACTN3	HGS
ACTN3	SYNPO2L
ACTN3	MICALL2
ARMCX2	RHOXF2
ACY1	NUDT1
ACY1	TTC1
ACY1	ACY1
MBD6	NCK2
MBD6	RBM10
MBD6	ASXL2
ACYP2	SULT2B1
ACYP2	CREBZF
STK11IP	MEOX2
ADARB1	TCEANC
ADARB1	ADARB1
ADARB1	PNPT1
ADARB1	ZMAT4
ADARB1	STRBP
ADARB1	ZNF346
ADARB1	NKRF
ADARB1	SUMO1P1
ADARB1	TARBP2
ADARB1	STAU1
ADARB1	EIF2AK2
ADARB1	PRKRA
FMNL2	NECAB1
FMNL2	AP1B1
FMNL2	AP2B1
FMNL2	CCDC121
FMNL2	PNMA1
FMNL2	MIPOL1
FMNL2	KRT27
NHP2	NOP10
SLITRK1	UBQLN2
CCDC85A	TP53BP2
MYSM1	MPP7
ADD1	HMG20A
ADD1	C1orf109
TNRC6A	TRIP13
ADH4	TRIM69
VSTM4	KRTAP6-3
VSTM4	KRTAP1-1
VSTM4	STX1A
VSTM4	KRTAP12-3
VSTM4	KRTAP1-3
VSTM4	TGM1
VSTM4	MDFI
VSTM4	KRTAP10-3
VSTM4	C9orf169
RHPN1	CEP70
RHPN1	TRIM27
RHPN1	CALCOCO2
RHPN1	HAP1
RHPN1	LZTS1
RHPN1	TRIM37
RHPN1	GPRASP2
RHPN1	GOLGA2
RHPN1	KRT31
RHPN1	EFEMP2
RHPN1	KRT15
RHPN1	MTUS2
LENG8	CEP70
LENG8	IKBKG
LENG8	ZNF34
LENG8	DMRTB1
LENG8	FAM22F
LENG8	TNIP1
LENG8	SMN2
LENG8	MIA3
LENG8	TRAF4
LENG8	SMN1
LENG8	MAPK1IP1L
LENG8	MAGED1
LENG8	ATN1
LENG8	KIAA0182
LENG8	PER2
LENG8	SNRPA
LENG8	TFG
LENG8	AES
LENG8	C9orf169
LENG8	PRDM16
LENG8	FASTK
LENG8	CPSF7
LENG8	CAMK2A
LENG8	RHOXF2
LENG8	HMGXB4
LENG8	BAG3
LENG8	C17orf85
LENG8	HNRNPM
PNMA5	ZMYND19
PNMA5	TCEA2
PNMA5	PNMA5
PNMA5	DZIP1L
PNMA5	ZBTB25
PNMA5	HOOK3
PNMA5	GORASP2
PNMA5	PNKP
PNMA5	MYO15B
PNMA5	PNMA1
PNMA5	GAS8
PNMA5	MAGED1
PNMA5	EFCAB4B
PNMA5	HSF2BP
PNMA5	CETN2
PNMA5	TTC23
PNMA5	EHHADH
PNMA5	VIM
PNMA5	TXNL4B
PNMA5	TNPO2
PNMA5	PSMA1
PNMA5	GYS1
PNMA5	CEP57L1
PNMA5	PRKAA1
PNMA5	SH3KBP1
PNMA5	C11orf49
PNMA5	SORBS3
PNMA5	CTNNA3
PNMA5	GRB2
PNMA5	GLIPR2
PNMA5	FSD2
PNMA5	AP1M1
PNMA5	APPL1
PNMA5	ZFYVE26
PNMA5	TBC1D22B
PNMA5	LHX3
PNMA5	PAX5
PNMA5	VPS28
PNMA5	KIFC3
PNMA5	CCDC102B
PNMA5	FOXH1
PNMA5	TCEANC
PNMA5	UBASH3A
PNMA5	LNX1
PNMA5	GOLGA6L9
PNMA5	CCNC
PNMA5	ZRANB1
PNMA5	ARPC4
PNMA5	MOAP1
PNMA5	KIF9
PNMA5	WDYHV1
PNMA5	DDX6
PNMA5	CDC23
PNMA5	RAD23B
PNMA5	SPG21
PNMA5	KPNA2
PNMA5	POLR3C
BTBD6	CUL3
BTBD6	BTBD3
ADPRH	TFCP2
ADRA2C	MDFI
STARD3	GOPC
DPY19L2P4	TRIP10
AP2A2	AAGAB
AP1B1	RNF39
AP1B1	FARS2
AP1B1	MLH1
AP1B1	CRYBB1
AP1B1	LDLRAP1
AP1B1	C20orf195
AP1B1	AP1G2
AP1B1	U2AF1
AP1B1	TSGA10IP
AP1B1	GPANK1
AP1B1	KIF13A
AP1B1	TBC1D22B
AP1B1	NUP54
AP1B1	GTF2I
AP1B1	NECAP1
AP1B1	C12orf10
AP1B1	POM121
AP1B1	PSORS1C2
AP1B1	MSGN1
AP1B1	AGR3
AP2B1	COL3A1
AP2B1	AP1M1
AP2B1	MLH1
AP2B1	AP1M2
AP2B1	KIAA0408
AP2B1	FAM46C
AP2B1	U2AF1
AP2B1	MGC50722
AP2B1	ATP6V1G1
AP2B1	NEU4
AP2B1	XRCC6BP1
AP2B1	AP2M1
AP2B1	ALS2CR11
AP2B1	ARRB1
AP2B1	GTF2I
AP2B1	POM121
AP2B1	DHX58
AP2B1	TUBGCP4
AP2B1	TEX12
AP2B1	LONRF1
AP2B1	NECAP2
AP2B1	TXN2
AP2B1	SLC25A6
AP2B1	RIBC2
AP2B1	KANK2
AP2B1	MEA1
AP2B1	LDLRAP1
AP2B1	GPANK1
AP2B1	TERF2IP
AP2B1	RAPGEF3
AP2B1	AFF4
AP2B1	THAP1
AP2B1	PSORS1C2
AP2B1	NUP54
AP2B1	KPNA2
AP1G1	AP1S2
AP1G1	UBL7
AP1G1	AAGAB
AES	MKRN3
AES	SOX5
AES	IRX6
AES	CALCOCO2
AES	PRPF31
AES	ARHGAP32
AES	TRAF1
AES	TRAF2
AES	U2AF2
AES	SF3B4
AES	ZBTB16
AES	HDAC4
AES	VEZF1
AES	TRIP6
AES	CIB3
AES	C19orf66
AES	KRTAP12-2
AES	TRIM26
AES	RHOXF2
AES	RBM10
AES	MYOG
AES	NAB2
AES	MBNL1
AES	LMO4
AES	GATA1
AES	FRS3
AES	KLHDC7B
AES	RIBC1
AES	RUSC1
AES	DAZAP2
AES	SRPK2
AES	TSC1
AES	EXOSC5
AES	BIRC7
AES	AEN
AES	GIGYF1
AES	LDOC1
AES	MDFI
AES	PRKAA1
AES	ZNF467
AES	PARVG
AES	PITX1
AES	PITX2
AES	CCNK
AES	GFAP
AES	HNRNPF
AES	NCDN
AES	KRTAP10-7
AES	KRTAP10-9
AES	HNRNPK
AES	DDX6
AES	KRTAP10-8
AES	KRTAP10-3
AES	SPG21
AES	HOXA1
AES	PHF1
AES	TCF7L2
AES	C15orf55
AES	ZGPAT
AES	MFAP1
AES	DIP2A
AES	HOXB5
AES	CABP5
AES	SRCRB4D
AES	MYO15B
AES	EFHC1
AES	HOXC8
AES	HOXC9
AES	DMRT3
AES	SCNM1
AES	AES
AES	ZBTB24
AES	PAX8
AES	FASTK
AES	C1orf109
AES	MORF4L1
AES	GLIS2
AES	TMCC2
AES	NAF1
AES	NEK6
AES	TOX3
AES	BYSL
AES	TIGD3
AES	C6orf165
AES	FAM124A
AES	FOXP2
AES	MLLT6
AES	GCC1
AES	C1orf216
AES	KIFC3
AES	ZMYND17
AES	TSC22D4
AES	TSSK3
AES	KRT40
AES	BCL6
AES	QARS
AES	ZNF417
AES	TSGA10IP
AES	TSEN15
AES	MTUS2
AES	SDCBP
AES	CSTF2T
AES	PICK1
AES	SERTAD3
AES	HOMEZ
AES	INO80E
AES	OSGIN1
AES	EIF4E2
AES	TBX6
AES	CCNJL
AES	FAM214B
AES	RAD51D
AES	VIM
AES	FOXN1
AES	TCF4
AES	TBX3
AES	C6orf195
AES	KRT13
AES	PATZ1
AES	IKZF3
AES	KRT15
AES	TFAP2D
AES	EFCAB4B
AES	ZNF48
AES	RNF31
AES	MLX
AES	L3MBTL2
AES	USP54
AES	KRT31
AES	KRT34
AES	KRT35
AES	FOSB
AES	TRIM41
AES	FBF1
AES	AGR2
AES	EFEMP2
AES	POLR1C
AES	TSGA10
AES	GRB2
AES	MAGOHB
AES	ZBTB47
AES	ZNF576
AES	FAM46B
AES	REL
AES	NUDT22
AES	RFX6
AES	LHX3
AES	IRX2
AES	TEAD4
AES	SIX1
AES	CCDC57
AES	FAM90A1
AES	TRIM27
AES	PRR3
AES	KANK2
AES	VPS37B
AES	BHLHE40
AES	ZNF414
AES	GOLGA6L9
AES	BAHD1
AES	EIF1AD
AES	AKAP8L
AES	RIMBP3
AES	C14orf118
AES	FSD2
AES	ZIC1
AES	THAP7
AES	C1orf94
AES	CRX
AES	STK16
AES	SKIL
AES	DYDC1
AES	ZNF34
AES	USP2
AES	MAPRE3
AES	NOTCH2NL
AES	OLIG3
AES	GORASP2
AES	C16orf11
AES	MED4
AES	UBXN11
AES	GYS1
AES	EAF1
AES	TRMT2A
AES	TTC23
AES	LMO1
AES	LMO2
AES	GOLGA2
AES	ABI2
AES	MORF4L2
AES	NDOR1
AES	VPS37C
AES	CTAGE5
AES	ZNF408
AES	INPP5J
AES	HGS
AES	PRKAA2
AES	PRKAB2
AES	CSTF2
AES	CARD9
AES	CCDC120
AES	ZFHX3
AES	CTBP2
AES	KRTAP11-1
AES	MAPK1
AES	LSM2
AES	LZTS2
AES	RIPPLY1
AES	SNRPA
AES	FAM124B
AES	STX11
AES	PCBP1
AES	SNRPC
AES	PRDM14
AES	ZRANB1
AES	C9orf169
AES	RBPMS
AES	INO80B
AES	SMAD3
AES	SMAD4
AES	PPP1R16A
AES	CPSF7
DEFB115	PROP1
DEFB115	UBQLN2
EIF3K	EIF3L
AFG3L1P	UBE3A
DEFB121	C19orf46
AGER	CREB3
AGT	EWSR1
AGTR1	PDE6H
OSBPL1A	MEOX2
AGXT	KRTAP6-3
AGXT	KRTAP9-2
AGXT	KRT40
AGXT	FNTB
AGXT	EFS
AGXT	C9orf169
AGXT	KRT31
AGXT	RFX6
AGXT	KRT34
AGXT	PLA2G10
AGXT	KRT37
AGXT	FHL5
AGXT	FOSB
AGXT	MDFI
AGXT	KRTAP12-3
AGXT	MORN5
AGXT	KRTAP1-1
AGXT	LPXN
AGXT	C7orf43
AGXT	NOTCH2NL
NR0B1	ESRRG
NR0B1	NR5A1
AHCY	APPBP2
AHCY	ANKRD40
AHCY	C1orf50
AHCY	AHCY
LINC00085	KRTAP1-3
LINC00085	BANP
LINC00085	KRTAP1-1
PRPF19	EXOC7
ZNF578	CEP70
ZNF578	CIB3
ZNF578	GOLGA6L9
ZNF578	KRTAP10-7
ZNF578	KRTAP2-4
ZNF578	ZNF526
ZNF578	KRTAP10-9
ZNF578	KRTAP10-8
ZNF578	KRTAP10-3
ZNF578	KRTAP12-3
ZNF578	MDFI
ZNF578	CCNDBP1
AKT1	DDIT4L
AKT1	TCL1A
AKT1	CEP76
AKT2	SH3RF1
AKT2	PICK1
AKT2	SORBS3
AKT2	REL
AKT2	MEOX2
C1QTNF1	SGTA
C1QTNF1	LNX1
C1QTNF1	PRPF31
C1QTNF2	NCALD
C1QTNF2	KLHL12
C1QTNF2	TRIM54
C1QTNF2	HPCAL1
C1QTNF2	UBQLN2
C1QTNF2	UBQLN1
ALAS1	KLHL35
ALAS1	PIBF1
ALAS1	WASH1
ALAS1	C2orf42
ALAS1	TCEA2
ALAS1	SNX20
ALAS1	COBL
ALAS1	TMSB4XP1
ALAS1	TMSB4XP2
ALAS1	CERK
ALAS1	ZFYVE26
ALAS1	TMSB10
ALAS1	ALAS1
ALAS1	RNF168
ALAS1	CDC73
ALAS1	GNL3L
ALAS1	POLDIP2
ALAS1	SH2D4A
ALAS1	FAM54A
ALAS1	BCL7A
ALAS1	TEKT4
ALAS1	TTC23
ALAS1	WIPF1
ALAS1	TMSL6
ALAS1	EP400
ALAS1	SNRPB2
ALAS1	DUSP19
ALAS1	LRRC45
ALAS1	ZNF564
ALAS1	CCHCR1
ALAS1	ZMAT1
ALAS1	GRXCR1
ALAS1	LONRF1
ALAS1	ZNF175
ALAS1	KIF9
ALAS1	USP20
ALAS1	PPL
ALAS1	CAP2
ALAS1	MTSS1L
ALAS1	FAM127C
ALAS1	UTP14C
ALAS1	TMSB4X
ALAS1	JRK
ALAS2	BANP
ATP6V1C2	KLHL24
ATP6V1C2	GOLGA2
ATP6V1C2	PAX6
ATP6V1C2	PROP1
ATP6V1C2	KRTAP12-2
ATP6V1C2	REL
ATP6V1C2	MEOX2
ALDH1A1	ALDH1A1
ALDH3A1	ZNF446
RALGPS2	OSBPL3
TMEM123	UBQLN2
TMEM123	MAGEA11
ALDH3B1	MID2
ALDH3B1	NOTCH2NL
ALDH3B1	KRTAP5-9
ALDH3B1	C9orf169
ALDH3B1	KRT31
ALDH3B1	KRTAP4-2
ALDH3B1	KRTAP1-1
ALDH3B1	KRT34
ALDH3B1	KRTAP10-7
ALDH3B1	KRTAP10-9
ALDH3B1	KRTAP10-5
ALDH3B1	KRTAP10-8
ALDH3B1	KRTAP1-3
ALDH3B1	KRT40
ALDH3B1	KRTAP10-3
ALDH3B1	KRTAP12-3
ALDOA	IFNA4
ALDOA	ALDOA
ALDOA	ALDOC
ALDOC	LNX1
ALDOC	ANKS1A
ZNF417	KCTD7
ZNF417	HMBOX1
ZNF417	BICD2
ZNF417	KRTAP5-9
ZNF417	RPGRIP1
ZNF417	PRPF31
ZNF417	GOLGA2
ZNF417	MAGEA8
ZNF417	SPRY2
ZNF417	CDR2
ZNF417	TRAF1
ZNF417	TRAF2
ZNF417	VASN
ZNF417	IKZF3
ZNF417	KRT15
ZNF417	C1orf190
ZNF417	CCNDBP1
ZNF417	MID2
ZNF417	KRTAP10-1
ZNF417	ZNF165
ZNF417	BEND5
ZNF417	KRT31
ZNF417	PHF15
ZNF417	CCDC136
ZNF417	SPERT
ZNF417	KRT35
ZNF417	SRCRB4D
ZNF417	PLEKHF2
ZNF417	TRIM41
ZNF417	NAB2
ZNF417	ZBTB43
ZNF417	ZBTB9
ZNF417	FRS3
ZNF417	MCC
ZNF417	HSF2BP
ZNF417	GOLGA6L9
ZNF417	TRIM54
ZNF417	KRTAP4-12
ZNF417	FSD2
ZNF417	SUV39H1
ZNF417	DHX57
ZNF417	REL
ZNF417	TCF4
ZNF417	IKZF1
ZNF417	BHLHB9
ZNF417	LHX3
ZNF417	TFIP11
ZNF417	STX11
ZNF417	MDFI
ZNF417	SSX2IP
ZNF417	ZBTB8A
ZNF417	CCDC57
ZNF417	TRIM27
ZNF417	BLZF1
ZNF417	KANK2
ZNF417	ZNF837
ZNF417	ZBTB1
ZNF417	FHL5
ZNF417	KRTAP10-7
ZNF417	KRTAP10-9
ZNF417	TRIM23
ZNF417	PHC2
ZNF417	AXIN2
ZNF417	CCDC36
ZNF417	KRTAP12-3
ZNF417	USHBP1
ZNF417	KRTAP10-8
ZNF417	HOXA1
ZNF417	MEOX2
ZNF417	CDR2L
ZNF417	KRTAP10-3
ZNF417	TSGA10
ZNF417	KRT39
