BNI1	FMNL3
DED1	DDX3Y
POP2	CNOT8
FKH1	FOXK1
RLI1	ABCE1
TAF5	TAF5
VDAC1	VDAC1
NHP2	NHP2
BEM3	RBP1
UTP18	UTP18
PAH1	LPIN1
DBF20	FYN
AP2S	AP2S1
MPS1	FGFR1
CHD1	CHD1
BUB1	BUB1
CUL3	CUL4B
SPS1	STK26
SEC18	NSF
RDS3	PHF5A
HSL1	FGFR3
CDC15	NTRK2
SSO1	STX1A
TCB3	ESYT1
RAD53	CDK6
HMS1	TFE3
PHO23	ING1
SGT2	SGTA
DBP1	DDX3X
KAPB	EGFR
CDC5	FGFR1
RNH1	RNH1
BUR1	CDK2
KSP1	FYN
GSP1	CDC42
HRR25	FYN
TRA1	TRRAP
RPN10	PSMD4
CDK1	EGFR
MYO2	MYO5B
CBK1	AKT1
RRN3	RRN3
KAPC	FGFR3
ROX1	SOX21
ROX1	SOX9
ATG3	ATG3
HRR25	CDK5
RFX1	RFX4
VPS5	SNX1
CLU	CLU
VPS21	RAB5C
STP1	IKZF2
PRTD	THOP1
KAPA	FYN
ARE1	SOAT1
VDAC2	VDAC2
CDC3	SEPT2
SCP1	CNN2
ERV29	SURF4
IPL1	TBK1
CDK1	NTRK2
YPT53	RAB5B
MYO1	MYH9
KIN28	JAK2
RLM1	MEF2A
HAT2	RBBP4
ARK1	CDK4
CCL1	CCNH
MRD1	RBM19
YMR1	MTMR2
KIC1	NTRK2
CUL3	CUL4A
HSL1	JAK2
ABP1	DBNL
KAPC	TBK1
CBK1	JAK2
NOP56	NOP56
CDC53	CUL2
KPC1	FGFR2
NOP12	RBM34
PRP9	SF3A3
CNS1	TTC4
VPS29	VPS29
LCF1	ACSL4
ERB1	BOP1
CDC14	PTEN
COPZ	COPZ1
CTK1	CDK9
CYPH	PPIA
KAPC	CDK5
KPR4	PRPS1
MSN4	SP2
SEC10	EXOC5
PXA1	ABCD1
ARF2	ARF1
TCB2	ESYT1
KSP1	FGFR2
CDC6	CDC6
RLM1	MEF2C
NHP6B	HMGB2
ATG1	AKT1
ABP1	GRB2
RFX1	RFX3
SEC4	RAB10
PRP42	CSTF3
ECM5	KDM5C
MSH2	MSH2
GOSR1	GOSR1
AP3D	AP3D1
PHSG	PYGM
NOT1	CNOT1
KPC1	AKT1
RLI1	CFTR
CIN8	KIF3A
RAD16	HLTF
CDC5	PLK1
UTP7	WDR46
GGA2	GGA1
GPA1	GNAI2
OAT	OAT
RAD53	CDK4
YN8H	CBWD1
CAK1	CDK6
LEO1	LEO1
ARK1	NTRK2
MYO1	MYH10
POB3	SSRP1
SAC7	RBP1
NACB2	BTF3
RFC4	RFC2
KAPA	AKT1
CDK1	CDK6
VDAC1	VDAC2
NOP15	RBM8A
EIF3A	EIF3A
RHO3	CDC42
LSM5	LSM5
VPS16	VPS16
OST1	RPN1
NDOR1	NOS1
KSP1	TBK1
MCM5	MCM5
KAPA	FGFR2
CDK1	TBK1
DED1	DDX3X
KPC1	TBK1
ARB1	ABCF2
TKT1	TKT
RAD5	HLTF
IMB5	IPO9
HSL1	EGFR
MLP1	TPR
AMPD	AMPD2
TOR1	MTOR
RAD51	RAD51
NSP1	NUP62
CDC27	CDC27
RFX1	RFX2
DBP10	DDX54
ARK1	ACVR1
ARK1	JAK2
ESF2	ABT1
MRK1	GSK3B
YMN1	PTGR2
KIC1	FGFR2
SNC2	VAMP2
VPS21	RAB5A
MPS1	FGFR2
CTR9	CTR9
KIC1	JAK2
KAPA	CDK6
CG23	CCND2
HAS1	DDX18
TAF7	TAF7
STE20	PAK3
MPH1	IFIH1
BUR1	JAK2
CRZ1	SP3
KPR2	PRPS1
